idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
646,42,1,1,0,16.0,1,0,1,0,8.0,3.0,0.0,15.09662,20.0,18.76923,15.666667
654,44,1,1,0,14.0,0,1,1,0,7.0,2.0,,7.7341142,40.0,11.25,2.3333333
655,45,1,0,0,13.0,0,0,0,0,11.0,3.0,,13.906358,37.0,11.314103,0.5
656,42,1,1,0,10.0,0,0,1,0,12.0,3.0,0.0,5.6360707,28.0,7.3269229,2.0833333
659,38,1,1,0,17.0,1,0,1,0,11.0,1.0,1.0,9.7342978,35.0,10.583334,3.6666667
661,44,1,0,0,18.0,1,0,1,0,11.0,2.0,0.0,10.177135,35.0,2.6153846,1.0833334
664,42,1,1,0,12.0,0,0,1,0,6.0,3.0,0.0,3.6231885,27.0,6.3653851,1.5833334
665,40,1,0,0,8.0,0,1,1,0,10.0,1.0,0.0,10.064413,20.0,14.923077,9.416667
670,44,1,0,1,16.0,1,0,1,0,5.0,4.0,0.0,9.6779356,40.0,20.333334,20.333334
671,45,1,1,0,12.0,0,1,1,0,4.0,3.0,0.0,5.2334948,40.0,11.788462,1.6666666
681,41,2,1,0,12.0,0,0,1,0,7.0,3.0,0.0,6.1916251,40.0,11.012821,3.9166667
683,45,1,1,0,17.0,1,0,1,0,4.0,2.0,0.0,12.777775,40.0,10.551283,6.5833335
684,37,1,0,0,12.0,0,0,1,1,7.0,2.0,0.0,11.610305,40.0,11.711538,3.1666667
688,38,1,0,0,9.0,0,0,1,0,6.0,8.0,0.0,4.3558779,37.0,6.5384622,2.25
689,36,1,1,0,15.0,1,1,1,0,11.0,13.0,0.0,6.4251208,40.0,7.5448718,0.75
690,39,1,1,0,15.0,0,0,1,0,11.0,1.0,1.0,7.4557123,38.0,12.403846,4.75
691,45,1,1,0,12.0,0,0,1,0,5.0,3.0,0.0,16.296289,38.0,14.769231,13.083333
692,45,1,1,0,12.0,0,0,1,0,8.0,8.0,0.0,5.0322061,16.0,8.4102564,3.8333333
693,41,1,1,0,12.0,0,0,1,0,12.0,3.0,,4.4217892,40.0,7.6858974,2.3333333
694,43,1,0,0,14.0,0,1,1,1,7.0,2.0,,40.198082,40.0,11.724359,0.66666669
696,43,1,1,0,14.0,0,0,1,0,11.0,3.0,1.0,5.6763277,35.0,11.724359,6.4166665
697,41,1,1,0,14.0,0,0,1,0,11.0,8.0,1.0,9.057972,40.0,15.480769,1.3333334
699,43,1,0,0,16.0,1,0,1,0,7.0,2.0,0.0,8.0515299,50.0,11.346154,1.1666666
714,36,1,1,0,18.0,1,0,1,1,6.0,1.0,0.0,15.869557,40.0,9.7884617,2.0
716,39,1,1,0,12.0,0,0,1,0,6.0,2.0,0.0,16.642509,40.0,19.185896,12.833333
718,38,2,0,0,10.0,0,0,1,0,4.0,6.0,1.0,3.7625415,40.0,1.474359,0.5
719,39,2,0,0,11.0,0,0,1,0,5.0,6.0,0.0,5.6856179,30.0,2.9423077,2.0833333
722,36,1,1,0,12.0,0,1,1,0,4.0,1.0,0.0,3.3444817,40.0,7.0256419,0.16666667
724,35,1,1,0,13.0,0,0,1,0,7.0,3.0,0.0,7.4879189,43.0,14.006411,9.916667
727,37,1,0,1,12.0,0,0,1,0,7.0,2.0,0.0,10.185181,50.0,18.871794,1.3333334
730,44,1,1,0,12.0,0,0,1,0,5.0,5.0,1.0,6.7069201,60.0,14.205129,5.3333335
731,42,1,1,0,12.0,0,1,0,0,12.0,8.0,,2.2327111,16.0,17.5,7.0833335
732,40,1,0,1,16.0,1,0,1,0,6.0,8.0,1.0,4.3156176,28.0,16.596153,6.0
737,41,1,1,0,17.0,1,0,1,0,11.0,13.0,0.0,9.9999981,30.0,13.006411,6.75
745,38,1,1,0,12.0,0,0,0,0,11.0,2.0,0.0,13.268916,35.0,14.192307,1.4166666
748,39,1,1,0,12.0,0,1,1,1,5.0,3.0,1.0,9.3317204,37.0,19.596153,6.5
749,35,1,1,0,12.0,0,0,1,0,5.0,3.0,1.0,11.988728,35.0,17.006411,3.4166667
750,35,1,1,0,12.0,0,1,1,1,7.0,2.0,0.0,4.9999995,40.0,15.192307,4.5
754,36,1,1,0,12.0,0,1,0,0,6.0,8.0,0.0,3.220612,35.0,5.1153846,1.9166666
757,42,1,0,1,18.0,1,0,1,0,11.0,13.0,1.0,18.236712,45.0,18.73077,18.583334
761,41,2,1,0,13.0,0,0,1,0,12.0,3.0,1.0,13.268916,35.0,18.717947,18.666666
762,41,2,0,0,13.0,0,0,1,0,7.0,2.0,0.0,11.650559,38.0,17.551283,17.5
763,36,2,0,0,15.0,0,0,1,0,11.0,1.0,1.0,8.848629,35.0,8.5961542,7.9166665
764,44,2,1,0,11.0,0,0,1,0,11.0,1.0,0.0,8.1481447,38.0,15.378204,7.0
768,37,2,1,0,12.0,0,0,1,1,6.0,3.0,0.0,5.2334948,37.0,12.98718,5.4166665
769,41,1,1,0,12.0,0,0,1,0,6.0,3.0,0.0,20.128826,10.0,13.269231,0.0
770,40,1,1,0,18.0,1,0,1,0,6.0,4.0,0.0,4.790658,21.0,18.833334,18.833334
771,38,1,1,0,18.0,1,0,1,0,11.0,13.0,0.0,10.450882,40.0,14.301283,10.833333
773,37,1,0,0,16.0,1,1,1,0,4.0,1.0,0.0,9.9114313,40.0,13.743589,5.9166665
779,42,1,0,1,18.0,1,0,1,0,11.0,1.0,1.0,10.064413,40.0,13.596154,4.8333335
781,36,1,0,1,16.0,1,0,1,1,4.0,2.0,0.0,22.367149,45.0,14.153847,1.3333334
784,44,1,1,0,16.0,1,1,1,1,11.0,13.0,1.0,10.064413,40.0,15.076923,10.5
785,45,1,0,0,18.0,1,1,1,0,11.0,1.0,0.0,8.5185146,40.0,12.871794,2.8333333
790,38,1,1,0,14.0,0,0,1,1,11.0,1.0,,8.7792645,40.0,13.788462,1.9166666
792,36,1,1,0,10.0,0,0,1,0,4.0,6.0,0.0,9.8470192,40.0,9.0576925,4.0
793,39,1,1,0,13.0,0,0,1,1,8.0,3.0,,4.1806021,40.0,8.75,0.25
795,44,2,1,0,10.0,0,0,1,0,5.0,3.0,0.0,11.610305,40.0,15.326923,10.166667
796,38,1,0,0,12.0,0,0,1,0,7.0,3.0,,4.3896322,35.0,9.448719,1.75
798,38,1,0,0,11.0,0,0,1,1,12.0,11.0,1.0,9.5652161,40.0,8.5320511,3.5
800,37,2,1,0,12.0,0,1,0,0,12.0,3.0,1.0,11.288241,35.0,19.358974,7.8333335
802,38,1,1,0,12.0,0,0,0,0,8.0,3.0,0.0,5.9822836,35.0,11.160257,3.5
808,39,1,0,0,12.0,0,0,1,0,6.0,,0.0,7.9468555,38.0,12.942307,7.0
809,40,1,1,0,12.0,0,0,1,0,6.0,3.0,1.0,6.5619922,20.0,11.044872,5.0
810,40,1,0,0,12.0,0,0,1,0,5.0,3.0,1.0,10.064413,40.0,21.967947,21.916666
813,34,1,0,1,14.0,0,0,1,0,5.0,1.0,0.0,15.48309,40.0,14.583333,14.583333
816,36,2,0,1,16.0,1,0,1,0,11.0,2.0,,6.857069,35.0,8.282052,1.4166666
817,43,2,1,0,11.0,0,0,1,0,11.0,3.0,0.0,4.2270532,35.0,5.25,0.5
823,35,1,0,0,12.0,0,0,1,1,11.0,1.0,0.0,6.0386477,40.0,13.333333,13.333333
824,44,1,1,0,10.0,0,0,0,0,4.0,6.0,0.0,6.4412241,40.0,14.083333,14.083333
825,43,1,1,0,18.0,1,0,1,0,11.0,13.0,1.0,13.760062,45.0,18.75,18.75
826,40,1,1,0,12.0,0,0,1,0,8.0,1.0,0.0,10.450882,40.0,14.480769,11.416667
827,39,1,0,0,14.0,0,0,1,0,6.0,2.0,0.0,15.48309,45.0,18.01923,1.3333334
830,40,1,1,0,11.0,0,0,1,1,7.0,3.0,,6.5635438,37.0,14.217948,2.1666667
831,43,1,0,0,12.0,0,0,1,1,5.0,6.0,,5.0167227,75.0,14.557693,0.5
834,43,1,1,0,12.0,0,1,1,0,,2.0,0.0,6.1916251,50.0,19.602564,3.75
836,39,1,1,0,12.0,0,1,0,0,12.0,3.0,0.0,6.2077284,40.0,13.621795,11.75
837,35,1,1,0,12.0,0,1,0,0,11.0,3.0,0.0,3.4219003,40.0,8.3269224,0.41666666
839,39,1,1,0,12.0,0,0,1,0,12.0,3.0,1.0,10.064413,40.0,19.75,19.75
842,40,1,0,0,12.0,0,0,1,0,12.0,3.0,0.0,12.777775,40.0,19.282051,6.0833335
843,41,1,0,0,12.0,0,1,1,1,3.0,3.0,,6.6889634,40.0,11.634615,1.8333334
845,44,1,0,0,12.0,0,0,1,0,6.0,8.0,0.0,5.2334948,20.0,12.442307,1.4166666
846,39,1,1,0,7.0,0,0,1,0,6.0,3.0,0.0,3.260869,40.0,5.8269234,2.0833333
851,40,1,0,1,12.0,0,0,1,0,9.0,8.0,0.0,2.7697251,32.0,17.224358,11.416667
855,35,1,1,0,12.0,0,0,1,1,6.0,5.0,0.0,7.6247931,40.0,16.346153,9.25
856,38,2,0,1,12.0,0,1,1,1,5.0,3.0,1.0,39.230736,40.0,15.673078,0.083333336
857,36,2,0,1,12.0,0,0,1,1,9.0,8.0,0.0,5.6360707,50.0,18.147438,18.083334
859,36,1,1,0,12.0,0,0,1,0,8.0,3.0,0.0,5.2334948,15.0,8.8012819,0.16666667
860,39,1,1,0,14.0,0,0,1,0,11.0,1.0,0.0,10.861512,40.0,18.339743,13.416667
867,44,1,0,0,16.0,1,0,1,1,11.0,13.0,1.0,13.856678,38.0,21.833334,21.833334
868,40,1,1,0,8.0,0,0,0,0,9.0,7.0,0.0,4.8309178,15.0,8.9423075,1.3333334
870,45,1,1,0,10.0,0,0,0,0,11.0,6.0,1.0,4.64573,15.0,6.3589745,2.75
872,39,1,0,0,16.0,1,0,1,0,11.0,8.0,,7.6010904,55.0,15.942308,2.5833333
874,41,1,1,0,12.0,0,1,1,1,5.0,3.0,1.0,4.6859903,40.0,6.4935899,2.9166667
877,37,1,1,0,12.0,0,0,0,0,4.0,6.0,0.0,5.5152969,44.0,9.2692308,1.1666666
878,39,1,1,0,14.0,0,0,0,0,11.0,3.0,0.0,6.6022515,20.0,15.846154,4.0
880,36,1,1,0,12.0,0,0,0,0,11.0,1.0,0.0,9.9677916,24.0,13.589744,9.666667
881,41,1,1,0,17.0,1,0,1,0,12.0,1.0,1.0,10.619963,35.0,7.9487181,7.9166665
882,36,1,0,0,12.0,0,1,1,0,4.0,3.0,0.0,7.0450883,40.0,14.256411,4.3333335
884,41,1,1,0,12.0,0,0,1,0,12.0,3.0,0.0,6.9645681,40.0,11.288462,3.1666667
888,37,1,1,0,13.0,0,0,0,0,4.0,6.0,0.0,3.220612,40.0,5.1538463,0.5
889,43,1,0,0,12.0,0,0,0,0,6.0,8.0,0.0,3.2180579,25.0,7.0192308,0.083333336
891,38,1,1,0,12.0,0,0,1,0,11.0,3.0,0.0,5.4669862,40.0,13.878205,3.0
895,38,1,1,0,10.0,0,1,0,0,6.0,8.0,0.0,2.9388082,30.0,10.288462,1.8333334
898,39,1,1,0,16.0,1,0,1,0,11.0,13.0,0.0,8.2608652,48.0,16.333334,16.333334
899,40,1,1,0,12.0,0,1,0,0,11.0,8.0,0.0,3.3574865,24.0,10.730769,1.5833334
900,37,1,1,0,12.0,0,1,0,0,6.0,4.0,,5.2257524,40.0,9.6602564,0.25
901,35,1,1,0,12.0,0,0,0,0,4.0,6.0,1.0,2.6972613,48.0,7.2820516,2.1666667
902,38,1,1,0,13.0,0,0,0,0,7.0,3.0,0.0,2.9871168,24.0,4.8461537,0.33333334
904,37,1,0,0,12.0,0,0,0,0,7.0,3.0,0.0,3.5748785,45.0,6.3076925,4.3333335
907,40,1,0,1,18.0,1,0,1,0,11.0,13.0,1.0,16.368748,35.0,17.833334,17.833334
908,36,1,1,0,16.0,1,0,1,0,7.0,3.0,0.0,13.268916,35.0,14.166667,7.75
909,35,1,1,0,16.0,1,0,0,0,11.0,1.0,,5.7636886,16.0,3.8269231,0.25
910,35,1,0,1,18.0,1,0,1,1,7.0,2.0,0.0,30.966181,50.0,9.8269234,1.75
911,42,1,0,0,12.0,0,0,0,0,11.0,8.0,0.0,5.0966172,35.0,10.551281,3.9166667
916,41,1,1,0,18.0,1,0,1,0,11.0,1.0,0.0,16.17552,45.0,15.128205,4.6666665
920,35,1,0,0,16.0,1,0,1,1,7.0,2.0,0.0,9.6215754,40.0,10.525641,3.0
925,39,1,1,0,12.0,0,0,0,0,4.0,6.0,1.0,3.3011258,35.0,11.192307,1.3333334
929,44,1,1,0,18.0,1,0,1,1,11.0,13.0,1.0,11.610305,40.0,17.455128,15.833333
932,42,1,1,0,12.0,0,0,1,1,11.0,3.0,1.0,6.3687601,35.0,18.070513,11.916667
933,40,1,1,0,13.0,0,0,0,0,11.0,3.0,0.0,7.7616749,20.0,20.083334,8.75
934,41,1,0,0,18.0,1,0,1,1,4.0,3.0,0.0,11.272142,35.0,15.089743,11.916667
935,37,1,0,1,13.0,0,1,1,1,6.0,4.0,0.0,5.8051524,40.0,15.858974,10.583333
938,43,1,0,0,16.0,1,1,1,1,11.0,2.0,0.0,13.003217,50.0,14.467949,3.25
940,44,1,1,0,11.0,0,0,0,0,4.0,6.0,1.0,6.634459,35.0,20.346153,20.333334
942,45,1,1,0,12.0,0,0,1,0,6.0,8.0,0.0,4.0257649,20.0,15.923077,14.916667
943,45,1,1,0,12.0,0,1,0,0,12.0,12.0,,6.1674714,32.0,9.6153851,2.5833333
947,41,1,1,0,17.0,1,1,1,0,11.0,13.0,,9.1115646,60.0,16.967949,15.75
948,40,1,1,0,14.0,0,1,1,0,9.0,1.0,,7.8788242,40.0,13.288462,3.5833333
949,41,1,1,0,13.0,0,0,0,0,11.0,8.0,0.0,4.1465359,40.0,5.4423075,3.8333333
950,39,1,1,0,9.0,0,0,0,0,4.0,6.0,1.0,6.4412241,40.0,15.282051,10.666667
951,40,1,1,0,11.0,0,1,0,0,11.0,3.0,1.0,5.0322061,40.0,8.75,2.8333333
953,40,1,0,0,12.0,0,0,1,0,4.0,3.0,0.0,6.1916251,50.0,12.923077,1.5
955,37,1,1,0,12.0,0,0,1,0,11.0,3.0,1.0,5.2656984,40.0,4.4038463,2.6666667
956,41,1,1,0,10.0,0,0,0,0,12.0,5.0,1.0,7.0048285,20.0,5.5961537,0.75
957,39,1,1,0,12.0,0,0,0,0,11.0,3.0,0.0,3.3574865,12.0,12.326923,1.75
958,36,1,1,0,12.0,0,0,0,0,12.0,3.0,0.0,3.6231885,15.0,14.846154,0.75
960,40,1,1,0,14.0,0,0,0,0,5.0,3.0,1.0,10.017915,38.0,15.038462,0.41666666
961,40,1,1,0,13.0,0,0,0,0,12.0,1.0,,7.0450883,40.0,15.769231,
964,37,1,1,0,13.0,0,0,0,0,11.0,1.0,0.0,9.138485,40.0,15.038462,10.0
965,44,1,1,0,13.0,0,0,0,0,4.0,3.0,0.0,6.8840547,45.0,15.429488,13.5
966,39,1,1,0,7.0,0,0,0,0,4.0,6.0,,3.0465944,40.0,5.9807692,0.16666667
968,39,1,0,0,12.0,0,0,0,0,4.0,4.0,0.0,7.2463775,50.0,18.134615,11.916667
969,42,1,1,0,12.0,0,1,1,0,11.0,1.0,0.0,10.450882,40.0,13.846154,1.9166666
972,35,1,0,1,13.0,1,0,1,0,6.0,2.0,,30.967405,50.0,12.519231,6.0833335
975,39,1,1,0,17.0,1,0,0,0,11.0,13.0,1.0,11.610305,40.0,15.833333,15.833333
977,44,1,1,0,18.0,1,0,0,0,6.0,8.0,0.0,11.50563,35.0,10.358974,0.0
978,44,1,1,0,10.0,0,0,0,0,11.0,8.0,1.0,5.0322061,40.0,9.1538458,7.5833335
979,37,1,1,0,16.0,1,0,1,0,6.0,4.0,0.0,3.0998378,20.0,11.698717,1.75
980,36,1,1,0,14.0,0,0,1,0,11.0,1.0,0.0,9.6618366,30.0,12.557692,6.5
981,44,1,0,0,12.0,0,0,0,0,11.0,8.0,,4.7658839,23.0,12.391026,2.6666667
983,42,1,0,1,18.0,1,0,0,0,11.0,13.0,0.0,1.859903,50.0,17.634615,3.75
984,39,1,0,0,13.0,0,0,0,0,11.0,3.0,0.0,5.2334948,37.0,15.076923,3.9166667
987,37,1,1,0,12.0,0,1,0,0,6.0,11.0,0.0,8.6553955,40.0,10.794872,9.083333
988,35,1,0,0,12.0,0,0,0,0,6.0,8.0,,2.801002,23.0,5.4871798,2.4166667
989,39,1,1,0,16.0,1,0,0,0,11.0,1.0,0.0,9.3397732,38.0,18.153847,17.416666
990,40,1,1,0,14.0,0,0,0,0,11.0,1.0,,7.0450883,40.0,17.26923,
991,41,1,1,0,15.0,0,0,0,0,11.0,1.0,1.0,11.513684,40.0,20.205128,20.166666
993,41,1,1,0,15.0,1,0,0,0,11.0,1.0,1.0,14.033811,40.0,20.801281,20.75
994,41,1,0,0,12.0,0,0,0,0,11.0,8.0,0.0,12.195121,60.0,4.1346154,0.66666669
996,38,1,1,0,18.0,1,0,1,0,11.0,13.0,1.0,6.9323611,67.0,9.9230766,0.83333331
998,41,1,1,0,12.0,0,0,1,0,12.0,3.0,,5.9364538,40.0,4.7692308,0.25
999,40,1,0,0,10.0,0,0,0,0,9.0,7.0,0.0,6.0386477,35.0,6.8397436,2.6666667
1001,45,1,1,0,12.0,0,0,0,0,11.0,8.0,,4.3896322,40.0,11.192307,4.0833335
1006,38,1,0,0,14.0,0,0,0,0,4.0,6.0,0.0,7.0450883,40.0,19.916666,19.916666
1007,40,1,0,0,12.0,0,0,1,0,11.0,1.0,0.0,5.072463,40.0,11.782051,1.0833334
1009,37,1,1,0,18.0,1,0,1,0,11.0,13.0,1.0,11.996774,40.0,10.044872,3.4166667
1011,37,1,1,0,14.0,0,0,1,0,11.0,1.0,0.0,14.291465,44.0,18.608974,8.25
1013,40,1,1,0,13.0,0,0,1,0,9.0,2.0,0.0,4.0257649,45.0,12.615385,5.0
1014,45,1,1,0,13.0,0,0,1,0,7.0,2.0,0.0,8.558774,40.0,13.846154,1.0
1015,43,1,0,0,12.0,0,0,1,0,6.0,4.0,1.0,5.0322061,20.0,8.3012819,7.5833335
1016,41,1,1,0,16.0,1,0,1,0,11.0,13.0,0.0,5.0322061,25.0,11.615385,1.75
1017,44,1,1,0,13.0,0,0,1,1,6.0,3.0,0.0,7.0450883,28.0,17.185896,3.4166667
1018,43,1,1,0,12.0,0,0,1,1,8.0,3.0,,4.4314375,40.0,1.9166667,0.0
1021,34,2,0,0,12.0,0,0,1,0,4.0,3.0,,3.3444817,40.0,7.3269234,0.41666666
1023,43,2,1,0,14.0,0,0,1,0,7.0,2.0,0.0,10.966179,45.0,16.769232,3.9166667
1025,37,2,0,1,12.0,0,0,1,1,4.0,2.0,0.0,10.483089,50.0,15.666667,15.666667
1026,38,2,0,1,14.0,0,0,1,1,5.0,8.0,1.0,27.890488,20.0,15.352564,15.166667
1028,39,1,1,0,12.0,0,0,1,0,8.0,3.0,0.0,5.6360707,20.0,16.692308,1.6666666
1029,38,1,0,0,16.0,1,1,1,1,11.0,2.0,0.0,11.698873,45.0,14.192307,2.0833333
1030,36,1,0,0,16.0,1,1,1,1,6.0,2.0,0.0,6.1705661,55.0,16.493589,1.3333334
1033,37,2,1,0,18.0,1,0,1,1,11.0,13.0,1.0,11.223828,40.0,16.179487,16.166666
1034,45,2,1,0,12.0,0,0,1,1,12.0,3.0,0.0,5.6360707,40.0,12.884615,9.166667
1037,36,1,1,0,12.0,0,0,0,0,12.0,3.0,0.0,6.8438005,40.0,17.166668,8.916667
1038,40,1,1,0,16.0,1,1,0,0,11.0,1.0,0.0,9.7826052,38.0,13.0,1.9166666
1040,36,1,0,0,8.0,0,0,1,0,4.0,2.0,,26.798721,60.0,3.6217949,1.4166666
1041,41,2,1,0,12.0,0,1,1,1,11.0,8.0,0.0,5.0322061,40.0,14.666667,14.666667
1044,42,1,0,1,15.0,0,0,1,0,4.0,1.0,0.0,18.58292,40.0,20.006411,20.0
1045,44,1,1,0,16.0,1,0,1,0,5.0,2.0,0.0,15.813202,47.0,12.711538,9.0
1048,40,1,1,0,11.0,0,0,1,0,12.0,3.0,1.0,9.6779356,40.0,10.756411,6.6666665
1051,40,1,1,0,14.0,0,0,1,0,11.0,1.0,0.0,11.030594,24.0,13.826923,12.25
1055,44,1,1,0,17.0,1,0,1,1,11.0,13.0,0.0,3.0998378,15.0,11.576923,7.3333335
1056,36,1,1,0,12.0,0,0,1,0,11.0,3.0,0.0,6.8438005,40.0,15.076923,7.5
1058,43,1,0,0,17.0,1,0,1,0,11.0,2.0,0.0,12.38325,50.0,16.173077,1.9166666
1060,40,1,1,0,12.0,0,0,1,1,4.0,3.0,0.0,8.9774513,40.0,13.384615,1.3333334
1062,43,1,0,0,12.0,0,0,1,1,7.0,3.0,0.0,6.1352654,50.0,20.333334,20.333334
1065,39,1,0,1,16.0,1,0,1,1,11.0,2.0,0.0,18.58292,40.0,14.346154,1.5
1066,43,1,1,0,16.0,1,0,1,1,11.0,13.0,0.0,5.8373594,26.0,3.4166667,3.4166667
1067,39,1,1,0,17.0,1,0,1,1,11.0,2.0,0.0,7.2544241,32.0,13.288462,1.0
1071,42,1,0,0,12.0,0,0,1,0,4.0,6.0,,3.220612,20.0,18.211538,0.16666667
1072,37,1,1,0,14.0,0,0,1,0,11.0,1.0,0.0,8.3735867,40.0,10.160255,2.9166667
1075,39,1,1,0,12.0,0,0,1,0,6.0,8.0,,7.3371558,25.0,11.365385,1.5833334
1076,41,1,1,0,16.0,1,0,0,0,11.0,13.0,0.0,6.9645681,40.0,11.807693,
1077,36,1,1,0,13.0,0,0,1,0,11.0,3.0,0.0,5.0322061,16.0,14.27564,1.0833334
1078,43,1,1,0,12.0,0,0,1,0,12.0,3.0,1.0,6.0386477,40.0,14.134616,9.416667
1084,41,1,1,0,14.0,0,0,1,1,8.0,8.0,0.0,2.6811595,30.0,6.6346154,2.0833333
1085,40,1,1,0,14.0,0,0,1,0,11.0,1.0,0.0,11.674717,24.0,19.416666,19.416666
1086,35,1,1,0,12.0,0,0,0,0,9.0,8.0,,4.8274837,40.0,16.878204,4.0833335
1087,44,1,1,0,12.0,0,0,1,0,5.0,6.0,1.0,11.11916,20.0,14.77564,10.416667
1091,41,2,1,0,15.0,0,1,1,0,12.0,3.0,0.0,9.6779356,40.0,19.5,9.083333
1092,38,2,0,1,12.0,0,0,1,1,11.0,8.0,0.0,4.5974226,35.0,9.666667,9.666667
1095,37,1,0,1,14.0,0,0,1,0,8.0,1.0,0.0,18.067625,42.0,16.660257,6.5833335
1099,37,1,1,0,12.0,0,0,1,1,11.0,3.0,0.0,5.6360707,20.0,12.557693,8.083333
1101,39,1,1,0,16.0,1,0,1,0,11.0,13.0,1.0,6.7069201,60.0,16.75,16.75
1105,37,1,1,0,16.0,1,0,1,0,11.0,13.0,1.0,8.3574867,50.0,14.692307,13.75
1106,44,2,0,1,12.0,0,0,1,1,11.0,8.0,0.0,3.3574865,42.0,12.891025,2.9166667
1113,40,1,0,0,13.0,0,0,1,0,8.0,2.0,0.0,10.450882,40.0,14.108974,3.0833333
1115,41,1,0,0,12.0,0,0,1,0,4.0,3.0,0.0,5.0322061,40.0,10.788462,3.6666667
1116,39,1,1,0,12.0,0,0,0,0,11.0,3.0,,5.0167227,36.0,16.916666,1.5833334
1118,36,1,1,0,12.0,0,0,1,0,7.0,8.0,0.0,4.4283414,5.0,5.8653846,4.1666665
1119,44,1,1,0,12.0,0,0,1,0,11.0,8.0,0.0,2.3268917,40.0,11.378206,5.0
1120,36,1,1,0,16.0,1,1,1,1,11.0,1.0,0.0,4.2673106,41.0,13.865385,1.6666666
1122,38,2,0,0,16.0,1,0,1,1,11.0,1.0,0.0,6.7552328,40.0,18.378206,14.75
1123,39,2,1,0,12.0,0,0,1,0,4.0,3.0,1.0,8.47826,38.0,19.115383,3.3333333
1125,46,1,0,0,12.0,0,0,1,0,5.0,2.0,0.0,19.355871,40.0,20.384615,20.333334
1131,41,1,1,0,12.0,0,0,1,0,9.0,8.0,,4.1806021,10.0,4.6538463,0.5
1132,35,1,0,1,12.0,0,0,1,0,5.0,3.0,1.0,8.2286596,40.0,16.27564,15.75
1133,39,1,1,0,12.0,0,0,1,0,1.0,4.0,,4.5986619,25.0,8.1410255,3.4166667
1134,38,1,1,0,14.0,0,0,1,0,11.0,3.0,0.0,4.4283414,8.0,4.7884617,1.75
1140,40,1,0,1,18.0,1,0,1,0,11.0,1.0,0.0,7.7455678,50.0,19.397434,3.4166667
1141,37,1,1,0,12.0,0,0,1,0,11.0,1.0,1.0,6.9645681,20.0,16.711538,10.25
1143,38,2,0,0,12.0,0,0,1,0,5.0,3.0,0.0,15.09662,40.0,20.115385,20.083334
1147,42,1,1,0,10.0,0,0,0,0,6.0,2.0,,5.0167227,40.0,9.4358978,0.83333331
1148,40,1,0,0,12.0,0,0,1,0,5.0,2.0,0.0,13.325271,40.0,17.262821,17.166666
1150,43,1,1,0,12.0,0,0,1,1,5.0,6.0,1.0,7.9307556,40.0,12.134615,3.1666667
1154,38,2,0,0,13.0,0,0,1,1,11.0,1.0,0.0,6.9726219,40.0,15.339744,10.083333
1155,37,2,1,0,,0,0,1,1,4.0,6.0,1.0,7.0450883,40.0,15.916667,15.916667
1157,38,2,1,0,10.0,0,0,1,1,8.0,3.0,0.0,3.220612,40.0,2.4166667,2.4166667
1159,41,1,0,1,11.0,0,1,0,0,4.0,6.0,1.0,5.8776164,40.0,12.03205,3.5833333
1162,40,1,1,0,12.0,0,0,1,0,7.0,2.0,0.0,4.7584538,35.0,16.416666,16.416666
1164,36,2,0,1,10.0,0,0,1,1,8.0,8.0,1.0,5.6843777,53.0,5.2115383,1.4166666
1169,38,1,1,0,12.0,0,0,1,0,4.0,1.0,0.0,11.835748,24.0,15.423077,2.3333333
1171,44,2,0,0,13.0,0,0,1,1,11.0,3.0,0.0,8.1320438,40.0,26.538462,14.416667
1174,37,2,0,1,14.0,0,0,1,1,4.0,6.0,1.0,12.077295,40.0,9.333333,9.333333
1177,39,2,1,0,12.0,0,0,1,1,11.0,3.0,0.0,6.2399359,40.0,9.8269224,5.4166665
1181,39,2,0,0,13.0,0,0,1,1,11.0,1.0,1.0,7.9307556,40.0,13.538462,3.75
1186,37,2,1,0,11.0,0,0,1,1,4.0,5.0,0.0,3.5265677,40.0,7.8653851,
1188,35,1,0,0,12.0,0,0,1,0,8.0,3.0,0.0,4.0257649,32.0,7.3076921,3.0833333
1196,36,2,1,0,18.0,1,0,1,0,11.0,2.0,,32.158459,50.0,13.358974,3.0
1198,37,1,1,0,12.0,0,0,1,0,7.0,2.0,0.0,7.4315586,40.0,14.807693,5.9166665
1201,37,1,1,0,14.0,0,0,1,0,1.0,3.0,0.0,6.1916251,50.0,8.1474361,2.5
1203,36,2,1,0,12.0,0,0,1,0,7.0,3.0,,6.793478,40.0,14.0,0.33333334
1204,36,2,1,0,13.0,0,0,1,1,5.0,6.0,1.0,10.466988,42.0,12.602564,12.333333
1209,40,1,1,0,12.0,0,0,1,0,7.0,2.0,0.0,25.805145,36.0,19.153847,4.9166665
1213,40,1,0,0,16.0,1,1,1,0,6.0,8.0,0.0,4.0257649,40.0,7.3076925,1.0833334
1217,37,2,0,0,12.0,0,1,1,0,6.0,3.0,0.0,2.8743958,35.0,5.6153846,4.3333335
1218,41,1,1,0,12.0,0,0,1,0,9.0,3.0,0.0,4.4283414,26.0,6.7307692,1.5833334
1219,39,1,0,1,12.0,0,0,1,0,6.0,3.0,0.0,15.09662,40.0,20.307692,20.25
1222,41,2,0,1,13.0,0,0,1,1,,3.0,0.0,6.8438005,40.0,12.980769,0.0
1224,41,3,1,0,15.0,0,0,1,1,11.0,3.0,0.0,6.5136847,38.0,2.5705128,0.75
