individual,mode,choice,ttme,invc,invt,gc,hinc,psize
109,3,1.0,0.0,8.0,270.0,49.0,60.0,2.0
110,0,0.0,64.0,78.0,175.0,105.0,40.0,4.0
110,1,0.0,44.0,67.0,932.0,208.0,40.0,4.0
110,2,0.0,53.0,44.0,922.0,183.0,40.0,4.0
110,3,1.0,0.0,12.0,720.0,121.0,40.0,4.0
111,0,0.0,69.0,67.0,108.0,79.0,70.0,1.0
111,1,0.0,34.0,38.0,370.0,78.0,70.0,1.0
111,2,0.0,35.0,32.0,415.0,77.0,70.0,1.0
111,3,1.0,0.0,12.0,240.0,38.0,70.0,1.0
112,0,0.0,64.0,108.0,200.0,139.0,70.0,2.0
112,1,0.0,44.0,90.0,944.0,234.0,70.0,2.0
112,2,0.0,53.0,45.0,934.0,187.0,70.0,2.0
112,3,1.0,0.0,19.0,720.0,128.0,70.0,2.0
113,0,1.0,60.0,108.0,80.0,120.0,30.0,2.0
113,1,0.0,44.0,32.0,344.0,84.0,30.0,2.0
113,2,0.0,53.0,26.0,389.0,85.0,30.0,2.0
113,3,0.0,0.0,7.0,315.0,55.0,30.0,2.0
114,0,1.0,30.0,58.0,90.0,72.0,35.0,2.0
114,1,0.0,44.0,32.0,506.0,109.0,35.0,2.0
114,2,0.0,53.0,26.0,551.0,110.0,35.0,2.0
114,3,0.0,0.0,8.0,402.0,69.0,35.0,2.0
115,0,1.0,55.0,69.0,115.0,81.0,60.0,1.0
115,1,0.0,34.0,43.0,392.0,85.0,60.0,1.0
115,2,0.0,35.0,37.0,437.0,84.0,60.0,1.0
115,3,0.0,0.0,13.0,268.0,42.0,60.0,1.0
116,0,1.0,40.0,66.0,105.0,77.0,45.0,1.0
116,1,0.0,34.0,31.0,372.0,71.0,45.0,1.0
116,2,0.0,35.0,25.0,417.0,70.0,45.0,1.0
116,3,0.0,0.0,18.0,327.0,54.0,45.0,1.0
117,0,0.0,69.0,57.0,67.0,65.0,45.0,1.0
117,1,0.0,34.0,31.0,355.0,69.0,45.0,1.0
117,2,1.0,40.0,18.0,245.0,45.0,45.0,1.0
117,3,0.0,0.0,13.0,320.0,48.0,45.0,1.0
118,0,0.0,69.0,129.0,185.0,149.0,6.0,1.0
118,1,0.0,34.0,67.0,933.0,168.0,6.0,1.0
118,2,1.0,20.0,54.0,820.0,143.0,6.0,1.0
118,3,0.0,0.0,38.0,894.0,135.0,6.0,1.0
119,0,1.0,90.0,151.0,95.0,161.0,36.0,1.0
119,1,0.0,34.0,96.0,895.0,193.0,36.0,1.0
119,2,0.0,35.0,51.0,885.0,147.0,36.0,1.0
119,3,0.0,0.0,35.0,844.0,127.0,36.0,1.0
120,0,1.0,10.0,70.0,85.0,80.0,20.0,1.0
120,1,0.0,34.0,34.0,351.0,72.0,20.0,1.0
120,2,0.0,35.0,28.0,396.0,71.0,20.0,1.0
120,3,0.0,0.0,22.0,307.0,55.0,20.0,1.0
121,0,1.0,25.0,75.0,100.0,90.0,20.0,2.0
121,1,0.0,44.0,15.0,348.0,68.0,20.0,2.0
121,2,0.0,53.0,12.0,393.0,72.0,20.0,2.0
121,3,0.0,0.0,7.0,290.0,51.0,20.0,2.0
122,0,1.0,99.0,110.0,260.0,138.0,26.0,1.0
122,1,0.0,34.0,92.0,934.0,193.0,26.0,1.0
122,2,0.0,35.0,47.0,924.0,147.0,26.0,1.0
122,3,0.0,0.0,45.0,816.0,134.0,26.0,1.0
123,0,1.0,30.0,94.0,195.0,115.0,29.0,1.0
123,1,0.0,34.0,89.0,943.0,191.0,29.0,1.0
123,2,0.0,35.0,44.0,933.0,145.0,29.0,1.0
123,3,0.0,0.0,58.0,912.0,157.0,29.0,1.0
124,0,1.0,35.0,95.0,155.0,119.0,8.0,2.0
124,1,0.0,44.0,45.0,930.0,186.0,8.0,2.0
124,2,0.0,53.0,43.0,920.0,183.0,8.0,2.0
124,3,0.0,0.0,23.0,860.0,153.0,8.0,2.0
125,0,0.0,69.0,104.0,178.0,123.0,32.0,1.0
125,1,0.0,34.0,89.0,992.0,197.0,32.0,1.0
125,2,1.0,15.0,38.0,675.0,111.0,32.0,1.0
125,3,0.0,0.0,39.0,900.0,137.0,32.0,1.0
126,0,0.0,64.0,103.0,170.0,129.0,45.0,2.0
126,1,0.0,44.0,88.0,889.0,222.0,45.0,2.0
126,2,1.0,30.0,35.0,770.0,152.0,45.0,2.0
126,3,0.0,0.0,18.0,905.0,155.0,45.0,2.0
127,0,0.0,64.0,86.0,167.0,112.0,45.0,3.0
127,1,0.0,44.0,75.0,972.0,222.0,45.0,3.0
127,2,0.0,53.0,44.0,962.0,190.0,45.0,3.0
127,3,1.0,0.0,13.0,870.0,145.0,45.0,3.0
128,0,0.0,64.0,108.0,139.0,129.0,26.0,2.0
128,1,0.0,44.0,90.0,862.0,220.0,26.0,2.0
128,2,1.0,30.0,36.0,780.0,154.0,26.0,2.0
128,3,0.0,0.0,18.0,875.0,151.0,26.0,2.0
129,0,0.0,69.0,59.0,106.0,71.0,60.0,1.0
129,1,0.0,34.0,31.0,372.0,71.0,60.0,1.0
129,2,0.0,35.0,25.0,417.0,70.0,60.0,1.0
129,3,1.0,0.0,13.0,300.0,46.0,60.0,1.0
130,0,0.0,64.0,58.0,124.0,77.0,10.0,2.0
130,1,1.0,10.0,35.0,380.0,92.0,10.0,2.0
130,2,0.0,53.0,13.0,427.0,78.0,10.0,2.0
130,3,0.0,0.0,8.0,364.0,63.0,10.0,2.0
131,0,0.0,64.0,107.0,153.0,131.0,45.0,2.0
131,1,0.0,44.0,89.0,880.0,222.0,45.0,2.0
131,2,0.0,53.0,44.0,870.0,176.0,45.0,2.0
131,3,1.0,0.0,2.0,660.0,102.0,45.0,2.0
132,0,0.0,64.0,86.0,143.0,108.0,60.0,3.0
132,1,0.0,44.0,74.0,880.0,207.0,60.0,3.0
132,2,0.0,53.0,43.0,870.0,175.0,60.0,3.0
132,3,1.0,0.0,16.0,660.0,116.0,60.0,3.0
133,0,0.0,69.0,108.0,196.0,129.0,60.0,1.0
133,1,0.0,34.0,91.0,967.0,196.0,60.0,1.0
133,2,1.0,15.0,35.0,935.0,136.0,60.0,1.0
133,3,0.0,0.0,38.0,903.0,136.0,60.0,1.0
134,0,0.0,69.0,103.0,149.0,119.0,8.0,1.0
134,1,0.0,34.0,45.0,892.0,142.0,8.0,1.0
134,2,1.0,25.0,25.0,730.0,104.0,8.0,1.0
134,3,0.0,0.0,37.0,882.0,133.0,8.0,1.0
135,0,0.0,64.0,103.0,160.0,127.0,60.0,2.0
135,1,0.0,44.0,89.0,987.0,239.0,60.0,2.0
135,2,0.0,53.0,44.0,977.0,192.0,60.0,2.0
135,3,1.0,0.0,34.0,660.0,134.0,60.0,2.0
136,0,0.0,64.0,114.0,161.0,138.0,12.0,2.0
136,1,0.0,44.0,60.0,1031.0,217.0,12.0,2.0
136,2,0.0,53.0,58.0,1021.0,213.0,12.0,2.0
136,3,1.0,0.0,19.0,720.0,128.0,12.0,2.0
137,0,0.0,69.0,107.0,150.0,123.0,45.0,1.0
137,1,0.0,34.0,91.0,914.0,190.0,45.0,1.0
137,2,0.0,35.0,46.0,904.0,144.0,45.0,1.0
137,3,1.0,0.0,36.0,750.0,117.0,45.0,1.0
138,0,0.0,69.0,118.0,137.0,132.0,50.0,1.0
138,1,0.0,34.0,96.0,904.0,194.0,50.0,1.0
138,2,1.0,5.0,65.0,850.0,157.0,50.0,1.0
138,3,0.0,0.0,64.0,859.0,157.0,50.0,1.0
139,0,0.0,69.0,102.0,101.0,113.0,26.0,1.0
139,1,0.0,34.0,87.0,870.0,182.0,26.0,1.0
139,2,1.0,45.0,35.0,800.0,122.0,26.0,1.0
139,3,0.0,0.0,35.0,825.0,125.0,26.0,1.0
140,0,0.0,64.0,85.0,101.0,101.0,35.0,3.0
140,1,0.0,44.0,73.0,870.0,205.0,35.0,3.0
140,2,0.0,53.0,42.0,860.0,173.0,35.0,3.0
140,3,1.0,0.0,12.0,600.0,103.0,35.0,3.0
141,0,0.0,69.0,107.0,158.0,125.0,12.0,1.0
141,1,1.0,30.0,61.0,780.0,146.0,12.0,1.0
141,2,0.0,35.0,45.0,901.0,143.0,12.0,1.0
141,3,0.0,0.0,54.0,853.0,147.0,12.0,1.0
142,0,0.0,69.0,113.0,244.0,140.0,15.0,1.0
142,1,1.0,30.0,67.0,845.0,158.0,15.0,1.0
142,2,0.0,35.0,49.0,893.0,146.0,15.0,1.0
142,3,0.0,0.0,47.0,868.0,141.0,15.0,1.0
143,0,0.0,64.0,84.0,215.0,117.0,12.0,4.0
143,1,1.0,99.0,37.0,885.0,171.0,12.0,4.0
143,2,0.0,53.0,46.0,966.0,193.0,12.0,4.0
143,3,0.0,0.0,10.0,921.0,150.0,12.0,4.0
144,0,0.0,64.0,94.0,163.0,119.0,35.0,3.0
144,1,1.0,25.0,68.0,755.0,183.0,35.0,3.0
144,2,0.0,53.0,47.0,895.0,183.0,35.0,3.0
144,3,0.0,0.0,16.0,879.0,149.0,35.0,3.0
145,0,0.0,69.0,112.0,161.0,129.0,26.0,1.0
145,1,1.0,15.0,21.0,797.0,108.0,26.0,1.0
145,2,0.0,35.0,45.0,876.0,140.0,26.0,1.0
145,3,0.0,0.0,47.0,852.0,140.0,26.0,1.0
146,0,0.0,69.0,103.0,166.0,121.0,6.0,1.0
146,1,1.0,45.0,20.0,820.0,109.0,6.0,1.0
146,2,0.0,35.0,43.0,836.0,134.0,6.0,1.0
146,3,0.0,0.0,35.0,886.0,131.0,6.0,1.0
147,0,0.0,69.0,107.0,152.0,124.0,4.0,1.0
147,1,1.0,30.0,33.0,755.0,115.0,4.0,1.0
147,2,0.0,35.0,44.0,882.0,140.0,4.0,1.0
147,3,0.0,0.0,48.0,845.0,140.0,4.0,1.0
148,0,0.0,64.0,103.0,164.0,128.0,40.0,2.0
148,1,1.0,10.0,41.0,730.0,152.0,40.0,2.0
148,2,0.0,53.0,43.0,925.0,183.0,40.0,2.0
148,3,0.0,0.0,19.0,898.0,155.0,40.0,2.0
149,0,0.0,64.0,143.0,166.0,168.0,40.0,1.0
149,1,1.0,10.0,83.0,825.0,208.0,40.0,1.0
149,2,0.0,53.0,70.0,896.0,206.0,40.0,1.0
149,3,0.0,0.0,50.0,911.0,188.0,40.0,1.0
150,0,1.0,45.0,94.0,270.0,123.0,60.0,1.0
150,1,0.0,34.0,91.0,916.0,190.0,60.0,1.0
150,2,0.0,35.0,46.0,906.0,144.0,60.0,1.0
150,3,0.0,0.0,49.0,872.0,144.0,60.0,1.0
151,0,1.0,45.0,138.0,115.0,150.0,4.0,1.0
151,1,0.0,34.0,60.0,880.0,156.0,4.0,1.0
151,2,0.0,35.0,58.0,870.0,153.0,4.0,1.0
151,3,0.0,0.0,47.0,888.0,143.0,4.0,1.0
152,0,1.0,60.0,102.0,250.0,129.0,50.0,1.0
152,1,0.0,34.0,112.0,997.0,220.0,50.0,1.0
152,2,0.0,35.0,67.0,952.0,170.0,50.0,1.0
152,3,0.0,0.0,43.0,971.0,148.0,50.0,1.0
153,0,1.0,60.0,151.0,255.0,190.0,60.0,2.0
153,1,0.0,44.0,91.0,941.0,234.0,60.0,2.0
153,2,0.0,53.0,46.0,931.0,187.0,60.0,2.0
153,3,0.0,0.0,21.0,959.0,166.0,60.0,2.0
154,0,1.0,60.0,111.0,205.0,133.0,70.0,1.0
154,1,0.0,34.0,97.0,888.0,193.0,70.0,1.0
154,2,0.0,35.0,52.0,878.0,147.0,70.0,1.0
154,3,0.0,0.0,49.0,855.0,142.0,70.0,1.0
155,0,1.0,60.0,70.0,95.0,93.0,40.0,2.0
155,1,0.0,44.0,31.0,360.0,85.0,40.0,2.0
155,2,0.0,53.0,25.0,405.0,86.0,40.0,2.0
155,3,0.0,0.0,7.0,335.0,58.0,40.0,2.0
156,0,1.0,45.0,74.0,70.0,85.0,35.0,3.0
156,1,0.0,44.0,26.0,361.0,81.0,35.0,3.0
156,2,0.0,53.0,21.0,406.0,82.0,35.0,3.0
156,3,0.0,0.0,4.0,315.0,52.0,35.0,3.0
157,0,1.0,75.0,165.0,180.0,192.0,60.0,2.0
157,1,0.0,44.0,98.0,967.0,245.0,60.0,2.0
157,2,0.0,53.0,53.0,922.0,193.0,60.0,2.0
157,3,0.0,0.0,26.0,947.0,170.0,60.0,2.0
158,0,1.0,30.0,93.0,175.0,112.0,60.0,1.0
158,1,0.0,34.0,96.0,1030.0,208.0,60.0,1.0
158,2,0.0,35.0,51.0,1020.0,162.0,60.0,1.0
158,3,0.0,0.0,54.0,967.0,159.0,60.0,1.0
159,0,1.0,90.0,71.0,115.0,89.0,50.0,2.0
159,1,0.0,44.0,31.0,385.0,89.0,50.0,2.0
159,2,0.0,53.0,25.0,430.0,90.0,50.0,2.0
159,3,0.0,0.0,7.0,332.0,57.0,50.0,2.0
160,0,1.0,45.0,75.0,75.0,96.0,40.0,3.0
160,1,0.0,44.0,33.0,418.0,96.0,40.0,3.0
160,2,0.0,53.0,28.0,463.0,98.0,40.0,3.0
160,3,0.0,0.0,5.0,291.0,49.0,40.0,3.0
161,0,1.0,60.0,81.0,70.0,89.0,60.0,1.0
161,1,0.0,34.0,32.0,341.0,69.0,60.0,1.0
161,2,0.0,35.0,26.0,386.0,68.0,60.0,1.0
161,3,0.0,0.0,13.0,307.0,46.0,60.0,1.0
162,0,1.0,75.0,94.0,95.0,104.0,20.0,1.0
162,1,0.0,34.0,33.0,367.0,73.0,20.0,1.0
162,2,0.0,35.0,27.0,412.0,72.0,20.0,1.0
162,3,0.0,0.0,14.0,314.0,48.0,20.0,1.0
163,0,0.0,64.0,70.0,158.0,93.0,50.0,3.0
163,1,0.0,44.0,61.0,778.0,179.0,50.0,3.0
163,2,0.0,53.0,34.0,772.0,151.0,50.0,3.0
163,3,1.0,0.0,11.0,470.0,82.0,50.0,3.0
164,0,0.0,64.0,65.0,145.0,87.0,70.0,4.0
164,1,0.0,44.0,54.0,674.0,156.0,70.0,4.0
164,2,0.0,53.0,33.0,668.0,135.0,70.0,4.0
164,3,1.0,0.0,8.0,560.0,93.0,70.0,4.0
165,0,0.0,64.0,71.0,133.0,91.0,50.0,3.0
165,1,0.0,44.0,59.0,625.0,153.0,50.0,3.0
165,2,0.0,53.0,32.0,619.0,126.0,50.0,3.0
165,3,1.0,0.0,8.0,510.0,85.0,50.0,3.0
166,0,0.0,69.0,81.0,139.0,96.0,26.0,1.0
166,1,0.0,34.0,71.0,698.0,147.0,26.0,1.0
166,2,0.0,35.0,32.0,692.0,107.0,26.0,1.0
166,3,1.0,0.0,33.0,600.0,98.0,26.0,1.0
167,0,0.0,64.0,65.0,154.0,89.0,45.0,4.0
167,1,0.0,44.0,53.0,621.0,147.0,45.0,4.0
167,2,0.0,53.0,32.0,615.0,125.0,45.0,4.0
167,3,1.0,0.0,9.0,535.0,90.0,45.0,4.0
168,0,0.0,64.0,58.0,148.0,80.0,45.0,6.0
168,1,0.0,44.0,48.0,646.0,145.0,45.0,6.0
168,2,0.0,53.0,32.0,640.0,129.0,45.0,6.0
168,3,1.0,0.0,5.0,470.0,76.0,45.0,6.0
169,0,0.0,69.0,81.0,95.0,91.0,30.0,1.0
169,1,0.0,34.0,70.0,610.0,136.0,30.0,1.0
169,2,0.0,35.0,31.0,604.0,96.0,30.0,1.0
169,3,1.0,0.0,30.0,440.0,78.0,30.0,1.0
170,0,0.0,64.0,71.0,145.0,93.0,40.0,3.0
170,1,0.0,44.0,59.0,658.0,159.0,40.0,3.0
170,2,0.0,53.0,32.0,652.0,131.0,40.0,3.0
170,3,1.0,0.0,10.0,590.0,100.0,40.0,3.0
171,0,0.0,64.0,82.0,159.0,106.0,50.0,2.0
171,1,0.0,44.0,71.0,765.0,187.0,50.0,2.0
171,2,0.0,53.0,32.0,759.0,147.0,50.0,2.0
171,3,1.0,0.0,13.0,490.0,87.0,50.0,2.0
172,0,0.0,69.0,61.0,73.0,69.0,35.0,1.0
172,1,0.0,34.0,33.0,350.0,71.0,35.0,1.0
172,2,1.0,50.0,26.0,227.0,51.0,35.0,1.0
172,3,0.0,0.0,14.0,314.0,48.0,35.0,1.0
173,0,0.0,69.0,60.0,133.0,74.0,34.0,1.0
173,1,0.0,34.0,31.0,397.0,74.0,34.0,1.0
173,2,1.0,15.0,21.0,240.0,47.0,34.0,1.0
173,3,0.0,0.0,14.0,351.0,52.0,34.0,1.0
174,0,0.0,64.0,81.0,129.0,101.0,8.0,2.0
174,1,0.0,44.0,35.0,677.0,138.0,8.0,2.0
174,2,1.0,15.0,31.0,565.0,117.0,8.0,2.0
174,3,0.0,0.0,12.0,588.0,101.0,8.0,2.0
175,0,0.0,69.0,59.0,117.0,72.0,30.0,1.0
175,1,0.0,34.0,32.0,397.0,75.0,30.0,1.0
175,2,0.0,35.0,26.0,442.0,74.0,30.0,1.0
175,3,1.0,0.0,17.0,180.0,37.0,30.0,1.0
176,0,0.0,69.0,111.0,276.0,141.0,32.0,1.0
176,1,0.0,34.0,93.0,1047.0,207.0,32.0,1.0
176,2,1.0,30.0,35.0,860.0,128.0,32.0,1.0
176,3,0.0,0.0,42.0,1008.0,151.0,32.0,1.0
177,0,0.0,69.0,59.0,88.0,68.0,26.0,1.0
177,1,0.0,34.0,30.0,361.0,70.0,26.0,1.0
177,2,1.0,15.0,21.0,295.0,53.0,26.0,1.0
177,3,0.0,0.0,13.0,299.0,45.0,26.0,1.0
178,0,0.0,69.0,59.0,114.0,71.0,42.0,1.0
178,1,0.0,34.0,31.0,389.0,73.0,42.0,1.0
178,2,1.0,15.0,21.0,243.0,47.0,42.0,1.0
178,3,0.0,0.0,13.0,334.0,49.0,42.0,1.0
179,0,1.0,90.0,55.0,115.0,72.0,50.0,1.0
179,1,0.0,44.0,72.0,602.0,163.0,50.0,1.0
179,2,0.0,53.0,33.0,596.0,123.0,50.0,1.0
179,3,0.0,0.0,24.0,589.0,113.0,50.0,1.0
180,0,1.0,15.0,87.0,110.0,104.0,70.0,2.0
180,1,0.0,44.0,31.0,348.0,84.0,70.0,2.0
180,2,0.0,53.0,25.0,393.0,85.0,70.0,2.0
180,3,0.0,0.0,7.0,320.0,56.0,70.0,2.0
181,0,0.0,69.0,62.0,76.0,71.0,30.0,1.0
181,1,0.0,34.0,39.0,377.0,80.0,30.0,1.0
181,2,0.0,35.0,33.0,422.0,79.0,30.0,1.0
181,3,1.0,0.0,12.0,300.0,45.0,30.0,1.0
182,0,0.0,69.0,59.0,121.0,72.0,26.0,1.0
182,1,0.0,34.0,31.0,386.0,73.0,26.0,1.0
182,2,0.0,35.0,25.0,431.0,72.0,26.0,1.0
182,3,1.0,0.0,14.0,270.0,43.0,26.0,1.0
183,0,0.0,64.0,51.0,90.0,64.0,26.0,3.0
183,1,1.0,20.0,61.0,350.0,114.0,26.0,3.0
183,2,0.0,53.0,22.0,405.0,83.0,26.0,3.0
183,3,0.0,0.0,6.0,327.0,56.0,26.0,3.0
184,0,0.0,64.0,64.0,215.0,97.0,18.0,2.0
184,1,1.0,50.0,41.0,420.0,104.0,18.0,2.0
184,2,0.0,53.0,15.0,385.0,73.0,18.0,2.0
184,3,0.0,0.0,9.0,321.0,58.0,18.0,2.0
185,0,0.0,64.0,58.0,74.0,69.0,35.0,2.0
185,1,1.0,30.0,21.0,295.0,66.0,35.0,2.0
185,2,0.0,53.0,24.0,389.0,83.0,35.0,2.0
185,3,0.0,0.0,7.0,315.0,55.0,35.0,2.0
186,0,0.0,64.0,71.0,119.0,89.0,50.0,3.0
186,1,0.0,44.0,58.0,617.0,152.0,50.0,3.0
186,2,1.0,15.0,35.0,615.0,128.0,50.0,3.0
186,3,0.0,0.0,11.0,586.0,100.0,50.0,3.0
187,0,1.0,15.0,50.0,75.0,58.0,4.0,1.0
187,1,0.0,34.0,15.0,361.0,55.0,4.0,1.0
187,2,0.0,35.0,12.0,406.0,56.0,4.0,1.0
187,3,0.0,0.0,13.0,315.0,47.0,4.0,1.0
188,0,1.0,10.0,61.0,80.0,73.0,30.0,4.0
188,1,0.0,44.0,24.0,350.0,77.0,30.0,4.0
188,2,0.0,53.0,19.0,395.0,79.0,30.0,4.0
188,3,0.0,0.0,4.0,314.0,52.0,30.0,4.0
189,0,0.0,69.0,59.0,100.0,70.0,45.0,1.0
189,1,0.0,34.0,31.0,372.0,71.0,45.0,1.0
189,2,0.0,35.0,25.0,417.0,70.0,45.0,1.0
189,3,1.0,0.0,13.0,210.0,36.0,45.0,1.0
190,0,0.0,69.0,58.0,73.0,66.0,60.0,1.0
190,1,0.0,34.0,31.0,324.0,66.0,60.0,1.0
190,2,0.0,35.0,25.0,334.0,61.0,60.0,1.0
190,3,1.0,0.0,18.0,240.0,44.0,60.0,1.0
191,0,0.0,69.0,62.0,184.0,82.0,4.0,1.0
191,1,0.0,34.0,19.0,454.0,68.0,4.0,1.0
191,2,0.0,35.0,16.0,464.0,66.0,4.0,1.0
191,3,1.0,0.0,18.0,225.0,42.0,4.0,1.0
192,0,1.0,30.0,93.0,85.0,102.0,30.0,1.0
192,1,0.0,34.0,33.0,365.0,72.0,30.0,1.0
192,2,0.0,35.0,27.0,410.0,71.0,30.0,1.0
192,3,0.0,0.0,13.0,308.0,46.0,30.0,1.0
193,0,1.0,20.0,76.0,95.0,86.0,60.0,1.0
193,1,0.0,34.0,33.0,344.0,70.0,60.0,1.0
193,2,0.0,35.0,27.0,389.0,69.0,60.0,1.0
193,3,0.0,0.0,13.0,315.0,47.0,60.0,1.0
194,0,0.0,64.0,100.0,190.0,129.0,4.0,2.0
194,1,0.0,44.0,49.0,678.0,152.0,4.0,2.0
194,2,1.0,30.0,48.0,430.0,113.0,4.0,2.0
194,3,0.0,0.0,14.0,629.0,109.0,4.0,2.0
195,0,0.0,64.0,48.0,63.0,58.0,18.0,3.0
195,1,1.0,10.0,21.0,255.0,60.0,18.0,3.0
195,2,0.0,53.0,13.0,397.0,73.0,18.0,3.0
195,3,0.0,0.0,4.0,324.0,53.0,18.0,3.0
196,0,0.0,64.0,58.0,93.0,72.0,15.0,2.0
196,1,1.0,10.0,30.0,315.0,78.0,15.0,2.0
196,2,0.0,53.0,13.0,346.0,65.0,15.0,2.0
196,3,0.0,0.0,6.0,316.0,54.0,15.0,2.0
197,0,0.0,69.0,59.0,94.0,69.0,26.0,1.0
197,1,0.0,34.0,30.0,361.0,70.0,26.0,1.0
197,2,0.0,35.0,24.0,406.0,68.0,26.0,1.0
197,3,1.0,0.0,10.0,270.0,39.0,26.0,1.0
198,0,1.0,30.0,111.0,105.0,122.0,40.0,1.0
198,1,0.0,34.0,71.0,596.0,136.0,40.0,1.0
198,2,0.0,35.0,32.0,590.0,96.0,40.0,1.0
198,3,0.0,0.0,27.0,577.0,90.0,40.0,1.0
199,0,1.0,5.0,64.0,80.0,76.0,70.0,2.0
199,1,0.0,44.0,30.0,348.0,83.0,70.0,2.0
199,2,0.0,53.0,24.0,393.0,84.0,70.0,2.0
199,3,0.0,0.0,7.0,291.0,51.0,70.0,2.0
200,0,1.0,5.0,60.0,85.0,73.0,45.0,4.0
200,1,0.0,44.0,24.0,379.0,81.0,45.0,4.0
200,2,0.0,53.0,19.0,424.0,83.0,45.0,4.0
200,3,0.0,0.0,3.0,337.0,54.0,45.0,4.0
201,0,0.0,64.0,97.0,188.0,125.0,26.0,3.0
201,1,0.0,44.0,76.0,825.0,201.0,26.0,3.0
201,2,1.0,16.0,38.0,810.0,161.0,26.0,3.0
201,3,0.0,0.0,15.0,803.0,137.0,26.0,3.0
202,0,0.0,69.0,91.0,117.0,104.0,35.0,1.0
202,1,0.0,34.0,77.0,630.0,145.0,35.0,1.0
202,2,0.0,35.0,38.0,624.0,106.0,35.0,1.0
202,3,1.0,0.0,29.0,540.0,88.0,35.0,1.0
203,0,0.0,69.0,59.0,114.0,72.0,4.0,1.0
203,1,0.0,34.0,16.0,378.0,57.0,4.0,1.0
203,2,1.0,5.0,14.0,370.0,54.0,4.0,1.0
203,3,0.0,0.0,17.0,335.0,53.0,4.0,1.0
204,0,0.0,69.0,60.0,66.0,67.0,20.0,1.0
204,1,0.0,34.0,34.0,352.0,72.0,20.0,1.0
204,2,1.0,10.0,37.0,250.0,64.0,20.0,1.0
204,3,0.0,0.0,13.0,307.0,46.0,20.0,1.0
205,0,0.0,69.0,107.0,144.0,123.0,45.0,1.0
205,1,0.0,34.0,89.0,879.0,184.0,45.0,1.0
205,2,1.0,30.0,35.0,775.0,119.0,45.0,1.0
205,3,0.0,0.0,37.0,868.0,131.0,45.0,1.0
206,0,0.0,69.0,81.0,124.0,94.0,40.0,1.0
206,1,0.0,34.0,69.0,605.0,135.0,40.0,1.0
206,2,0.0,35.0,30.0,599.0,95.0,40.0,1.0
206,3,1.0,0.0,30.0,720.0,108.0,40.0,1.0
207,0,1.0,45.0,126.0,135.0,141.0,40.0,1.0
207,1,0.0,34.0,70.0,596.0,135.0,40.0,1.0
207,2,0.0,35.0,31.0,590.0,95.0,40.0,1.0
207,3,0.0,0.0,32.0,577.0,95.0,40.0,1.0
208,0,0.0,69.0,59.0,86.0,68.0,2.0,1.0
208,1,0.0,34.0,15.0,360.0,54.0,2.0,1.0
208,2,1.0,50.0,29.0,265.0,57.0,2.0,1.0
208,3,0.0,0.0,13.0,300.0,46.0,2.0,1.0
209,0,0.0,69.0,81.0,124.0,94.0,20.0,1.0
209,1,0.0,34.0,35.0,605.0,100.0,20.0,1.0
209,2,0.0,35.0,31.0,599.0,96.0,20.0,1.0
209,3,1.0,0.0,27.0,510.0,82.0,20.0,1.0
210,0,0.0,64.0,66.0,140.0,87.0,70.0,4.0
210,1,0.0,44.0,54.0,670.0,156.0,70.0,4.0
210,2,0.0,53.0,33.0,664.0,134.0,70.0,4.0
210,3,1.0,0.0,12.0,540.0,94.0,70.0,4.0
